댓글수,판매량,순위1,순위2,순위3,순위4,순위5,순위6,순위7,순위8,순위9,순위10
1000,100,0,0,0,0,0,0,0,0,0,1
2000,200,0,0,0,0,0,0,0,0,1,0
3000,300,0,0,0,0,0,0,0,1,0,0
4000,400,0,0,0,0,0,0,1,0,0,0
5000,500,0,0,0,0,0,1,0,0,0,0
6000,600,0,0,0,0,1,0,0,0,0,0
7000,700,0,0,0,1,0,0,0,0,0,0
8000,800,0,0,1,0,0,0,0,0,0,0
9000,900,0,1,0,0,0,0,0,0,0,0
10000,1000,1,0,0,0,0,0,0,0,0,0
1001,102,0,0,0,0,0,0,0,0,0,1
2003,203,0,0,0,0,0,0,0,0,1,0
3002,300,0,0,0,0,0,0,0,1,0,0
4001,401,0,0,0,0,0,0,1,0,0,0
5010,510,0,0,0,0,0,1,0,0,0,0
6002,600,0,0,0,0,1,0,0,0,0,0
7001,701,0,0,0,1,0,0,0,0,0,0
8010,801,0,0,1,0,0,0,0,0,0,0
9001,901,0,1,0,0,0,0,0,0,0,0
10010,1010,1,0,0,0,0,0,0,0,0,0
1021,102,0,0,0,0,0,0,0,0,0,1
2002,212,0,0,0,0,0,0,0,0,1,0
3002,302,0,0,0,0,0,0,0,1,0,0
4001,412,0,0,0,0,0,0,1,0,0,0
5011,510,0,0,0,0,0,1,0,0,0,0
6012,601,0,0,0,0,1,0,0,0,0,0
7011,701,0,0,0,1,0,0,0,0,0,0
8011,801,0,0,1,0,0,0,0,0,0,0
9031,911,0,1,0,0,0,0,0,0,0,0
10030,1011,1,0,0,0,0,0,0,0,0,0
1020,102,0,0,0,0,0,0,0,0,0,1
2002,202,0,0,0,0,0,0,0,0,1,0
3002,301,0,0,0,0,0,0,0,1,0,0
4011,411,0,0,0,0,0,0,1,0,0,0
5010,510,0,0,0,0,0,1,0,0,0,0
6010,603,0,0,0,0,1,0,0,0,0,0
7016,701,0,0,0,1,0,0,0,0,0,0
8016,803,0,0,1,0,0,0,0,0,0,0
9035,914,0,1,0,0,0,0,0,0,0,0
10034,1011,1,0,0,0,0,0,0,0,0,0
1020,101,0,0,0,0,0,0,0,0,0,1
2032,202,0,0,0,0,0,0,0,0,1,0
3002,300,0,0,0,0,0,0,0,1,0,0
4011,410,0,0,0,0,0,0,1,0,0,0
5010,511,0,0,0,0,0,1,0,0,0,0
6010,604,0,0,0,0,1,0,0,0,0,0
7016,701,0,0,0,1,0,0,0,0,0,0
8016,803,0,0,1,0,0,0,0,0,0,0
9035,914,0,1,0,0,0,0,0,0,0,0
10034,1010,1,0,0,0,0,0,0,0,0,0
1021,102,0,0,0,0,0,0,0,0,0,1
2001,202,0,0,0,0,0,0,0,0,1,0
3001,301,0,0,0,0,0,0,0,1,0,0
4011,411,0,0,0,0,0,0,1,0,0,0
5012,511,0,0,0,0,0,1,0,0,0,0
6011,602,0,0,0,0,1,0,0,0,0,0
7012,701,0,0,0,1,0,0,0,0,0,0
8012,813,0,0,1,0,0,0,0,0,0,0
9032,913,0,1,0,0,0,0,0,0,0,0
10039,1019,1,0,0,0,0,0,0,0,0,0
1022,102,0,0,0,0,0,0,0,0,0,1
2002,202,0,0,0,0,0,0,0,0,1,0
3001,321,0,0,0,0,0,0,0,1,0,0
4011,421,0,0,0,0,0,0,1,0,0,0
5011,511,0,0,0,0,0,1,0,0,0,0
6012,602,0,0,0,0,1,0,0,0,0,0
7011,701,0,0,0,1,0,0,0,0,0,0
